 Date,Start Time,End TIme,Activity,location,"General Emotion (excited, happy, calm, anxious, sad, angry)",Qualitative,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored,startTime,endTime
2016-05-02,16:30:00,16:35:00,meeting with jonathan,66 w 12th,excited,,3.00,,3.00,,,,,,,2016-05-02 16:30:00,2016-05-02 16:35:00
2016-05-02,16:50:00,17:05:00,getting chocolate to give to my thesis readers,whole foods,calm,,,,5.00,2.00,,,,,,2016-05-02 16:50:00,2016-05-02 17:05:00
2016-05-02,18:00:00,19:40:00,packing,home,calm,,,2.00,8.00,2.00,,,,,,2016-05-02 18:00:00,2016-05-02 19:40:00
2016-05-02,20:36:00,21:12:00,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,,2016-05-02 20:36:00,2016-05-02 21:12:00
2016-05-02,21:00:00,21:20:00,messaging colin about book,home,anxious,,2.00,,,3.00,,,,,,2016-05-02 21:00:00,2016-05-02 21:20:00
2016-05-02,21:21:00,22:00:00,editing book,home,calm,,,,3.00,1.00,,,,,,2016-05-02 21:21:00,2016-05-02 22:00:00
2016-05-03,08:00:00,08:05:00,met colin,14th/8th av,tired,,,,2.00,2.00,,,,10.00,,2016-05-03 08:00:00,2016-05-03 08:05:00
2016-05-03,08:30:00,09:45:00,visa adventure,chinese consulate,anxious,,,,3.00,5.00,,,,7.00,4.00,2016-05-03 08:30:00,2016-05-03 09:45:00
2016-05-03,09:46:00,10:25:00,run back to school to be late to class,,anxious,,,,,8.00,,,,6.00,,2016-05-03 09:46:00,2016-05-03 10:25:00
2016-05-03,10:30:00,11:30:00,calligraphy class ,6 e 16th,calm,,,,6.00,2.00,,,,6.00,,2016-05-03 10:30:00,2016-05-03 11:30:00
2016-05-03,11:45:00,16:00:00,work,5th floor cage,anxious/tired,,,,,8.00,,,,6.00,,2016-05-03 11:45:00,2016-05-03 16:00:00
2016-05-03,12:00:00,12:05:00,scolding colin for not giving me all his paperwork,5th floor cage,anxious,,,,,4.00,,,,6.00,,2016-05-03 12:00:00,2016-05-03 12:05:00
2016-05-03,13:30:00,13:45:00,getting hot cocoa with megan,croque,happy sad,,,5.00,,3.00,4.00,,,5.00,,2016-05-03 13:30:00,2016-05-03 13:45:00
2016-05-03,15:45:00,16:00:00,sitting with sally,5th floor cage,calm,,,,4.00,2.00,,,,5.00,,2016-05-03 15:45:00,2016-05-03 16:00:00
2016-05-03,16:30:00,17:30:00,getting mothers day cards/dads bday card,out and about,tired,,,,,3.00,,,,5.00,,2016-05-03 16:30:00,2016-05-03 17:30:00
2016-05-03,18:30:00,18:40:00,realized i forgot to get something to bring for thesis presentations potlock,out and about,tired,,,,,4.00,,,,5.00,,2016-05-03 18:30:00,2016-05-03 18:40:00
2016-05-03,07:40:00,20:00:00,nap,home,tired,,,,,4.00,4.00,,,5.00,,2016-05-03 07:40:00,2016-05-03 20:00:00
2016-05-03,20:48:00,09:15:00,exercise (shorter than usual... tired),home,dying,,,,,,,,,,,2016-05-03 20:48:00,2016-05-03 09:15:00
