starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
4/30/16 1:30,4/30/16 9:50,4/30/16,1:30 AM,9:50 AM,sleep,home,calm,,,,10.00,,,,,,,10.00,0.00,0.00,10.00,0.00,0.00
4/30/16 9:50,4/30/16 10:10,4/30/16,9:50 AM,10:10 AM,geyer and head ache,home,ANGRY,,,,,,,10.00,,,,0.00,10.00,0.00,0.00,10.00,0.00
4/30/16 10:10,4/30/16 10:30,4/30/16,10:10 AM,10:30 AM,shower and ate and head ache,home,,,,,,,,8.00,,,,0.00,8.00,0.00,0.00,8.00,0.00
4/30/16 10:30,4/30/16 11:30,4/30/16,10:30 AM,11:30 AM,put away laundry and head ache,home,,,,,,,,8.00,,,,0.00,8.00,0.00,0.00,8.00,0.00
4/30/16 11:30,4/30/16 12:00,4/30/16,11:30 AM,12:00 PM,Car accident,,,,,,,10.00,10.00,10.00,,,,0.00,30.00,0.00,0.00,20.00,20.00
4/30/16 12:00,4/30/16 17:00,4/30/16,12:00 PM,5:00 PM,WORK ANGRY,work,,,,,,,10.00,10.00,,,,0.00,20.00,0.00,0.00,10.00,10.00
4/30/16 17:00,4/30/16 19:00,4/30/16,5:00 PM,7:00 PM,work,work,,,,,,4.00,3.00,6.00,,,,0.00,13.00,0.00,0.00,10.00,7.00
4/30/16 19:00,4/30/16 23:59,4/30/16,7:00 PM,11:59 PM,Work and dive home,work,,,,,,,,6.00,,,,0.00,6.00,0.00,0.00,6.00,0.00
5/1/16 0:00,5/1/16 11:08,5/1/16,12:00 AM,11:08 AM,Charge and sleep,home,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
5/1/16 11:08,5/1/16 13:00,5/1/16,11:08 AM,1:00 PM,Write paper,home,,,,,,2.00,4.00,2.00,,,,0.00,8.00,0.00,0.00,4.00,6.00
5/1/16 13:00,5/1/16 14:30,5/1/16,1:00 PM,2:30 PM,Nap,home,,,,,5.00,5.00,,3.00,,,,5.00,8.00,0.00,5.00,8.00,5.00
5/1/16 14:30,5/1/16 18:53,5/1/16,2:30 PM,6:53 PM,writing at jens,,,,,,5.00,5.00,,,,,,5.00,5.00,0.00,5.00,5.00,5.00
5/1/16 18:53,5/1/16 19:20,5/1/16,6:53 PM,7:20 PM,Driving home,,,,,,5.00,5.00,,,,,,5.00,5.00,0.00,5.00,5.00,5.00
5/1/16 19:20,5/1/16 20:00,5/1/16,7:20 PM,8:00 PM,home cleaning,home,,,,,5.00,5.00,,,,,,5.00,5.00,0.00,5.00,5.00,5.00
5/1/16 20:00,5/1/16 21:00,5/1/16,8:00 PM,9:00 PM,With Kathy,,,,,,5.00,5.00,,,,,,5.00,5.00,0.00,5.00,5.00,5.00
5/1/16 21:00,5/1/16 21:47,5/1/16,9:00 PM,9:47 PM,cleaning and packing,home,,,,,5.00,5.00,,,,,,5.00,5.00,0.00,5.00,5.00,5.00
5/1/16 21:47,5/1/16 23:59,5/1/16,9:47 PM,11:59 PM,Watch TV,home,,,,,5.00,5.00,,,,,,5.00,5.00,0.00,5.00,5.00,5.00
5/2/16 0:00,5/2/16 1:30,5/2/16,12:00 AM,1:30 AM,Watch TV,home,,,,,,8.00,,,,,,0.00,8.00,0.00,0.00,8.00,8.00
5/2/16 1:30,5/2/16 6:30,5/2/16,1:30 AM,6:30 AM,Sleep,home,,,,,6.00,,,,,,,6.00,0.00,0.00,6.00,0.00,0.00
5/2/16 6:30,5/2/16 6:50,5/2/16,6:30 AM,6:50 AM,shower,home,,,,,6.00,,,,,,,6.00,0.00,0.00,6.00,0.00,0.00
5/2/16 6:50,5/2/16 7:15,5/2/16,6:50 AM,7:15 AM,get ready and get to train,,,,,,6.00,,,,,,,6.00,0.00,0.00,6.00,0.00,0.00
5/2/16 7:15,5/2/16 8:15,5/2/16,7:15 AM,8:15 AM,Train Commute,,,,,,6.00,,,,,,,6.00,0.00,0.00,6.00,0.00,0.00
5/2/16 8:15,5/2/16 9:30,5/2/16,8:15 AM,9:30 AM,setting up computers,work,,,,,,8.00,,,,,,0.00,8.00,0.00,0.00,8.00,8.00
5/2/16 9:30,5/2/16 11:13,5/2/16,9:30 AM,11:13 AM,Class and setting up computers,work,,,,,,6.00,6.00,,,,,0.00,12.00,0.00,0.00,6.00,12.00
5/2/16 11:13,5/2/16 12:00,5/2/16,11:13 AM,12:00 PM,Work,work,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
5/2/16 12:00,5/2/16 13:18,5/2/16,12:00 PM,1:18 PM,meeting with anne,work,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
