starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
2016-05-12 23:37:00,2016-05-12 00:13:00,2016-05-12,11:37 PM,12:13 AM,Car ride to Justin's house,,Tired,8,,,,,,,,8,,0,0,0,0,0,0
2016-05-13 00:15:00,2016-05-13 00:25:00,2016-05-13,12:15 AM,12:25 AM,Exchanging $$$$,Justin's house,Tired,8,,,,,,,,8,,0,0,0,0,0,0
2016-05-13 00:25:00,2016-05-13 00:25:00,2016-05-13,12:25 AM,12:25 AM,Arrive home,,Tired,8,,,,,,,,8,,0,0,0,0,0,0
2016-05-13 00:25:00,2016-05-13 01:25:00,2016-05-13,12:25 AM,1:25 AM,Showering,Home,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-13 02:16:00,2016-05-13 08:15:00,2016-05-13,2:16 AM,8:15 AM,Sleeping,Home,Calm,10,,,10,,,,,,,10,0,0,10,0,0
2016-05-13 08:30:00,2016-05-13 09:40:00,2016-05-13,8:30 AM,9:40 AM,Train/bus to chinatown,,Calm,7,,,7,,,,,,,7,0,0,7,0,0
2016-05-13 09:40:00,2016-05-13 10:17:00,2016-05-13,9:40 AM,10:17 AM,Rice noodles with Sarah and Hashem,Chinatown,Happy,9,,9,,,,,,,,9,0,9,9,0,0
2016-05-13 10:38:00,2016-05-13 11:30:00,2016-05-13,10:38 AM,11:30 AM,Train to work,,Calm,7,,,7,,,,,,,7,0,0,7,0,0
2016-05-13 11:30:00,2016-05-13 13:32:00,2016-05-13,11:30 AM,1:32 PM,Working,Harlem,Bored,6,,,,,,,,,6,0,0,0,0,0,0
2016-05-13 13:32:00,2016-05-13 13:37:00,2016-05-13,1:32 PM,1:37 PM,Coworkers surprise me with cake,Internship; Harlem,Happy,10,,10,,,,,,,,10,0,10,10,0,0
2016-05-13 13:37:00,2016-05-13 16:00:00,2016-05-13,1:37 PM,4:00 PM,Working,Harlem,Bored,6,,,,,,,,,6,0,0,0,0,0,0
2016-05-13 16:00:00,2016-05-13 16:30:00,2016-05-13,4:00 PM,4:30 PM,Meeting with boss,Harlem,Anxious,8,,,,8,,,,,,0,8,0,0,8,8
2016-05-13 16:47:00,2016-05-13 16:47:00,2016-05-13,4:47 PM,4:47 PM,Slipping business card into competitor company box,Harlem,Amused,6,,6,,,,,,,,6,0,6,6,0,0
2016-05-13 16:47:00,2016-05-13 17:20:00,2016-05-13,4:47 PM,5:20 PM,Train to school,,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-13 17:25:00,2016-05-13 17:27:00,2016-05-13,5:25 PM,5:27 PM,Offering Sarah Cake,5th floor cage,Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-13 17:27:00,2016-05-13 17:27:00,2016-05-13,5:27 PM,2016-05-13,Regretting offering Sarah cake,Barb's office,Anxious,7,,,,7,,,,,,0,7,0,0,7,7
2016-05-13 17:27:00,2016-05-13 19:00:00,2016-05-13,5:27 PM,7:00 PM,With Barb and Sarah,Barb's office,"Calm, happy",8,,8,8,,,,,,,16,0,8,16,0,0
2016-05-13 19:30:00,2016-05-13 21:00:00,2016-05-13,7:30 PM,9:00 PM,Working,5th floor cage,Bored,10,,,,,,,,,10,0,0,0,0,0,0
2016-05-13 20:50:00,2016-05-13 21:00:00,2016-05-13,8:50 PM,9:00 PM,Waiting on people to reply to me,5th floor cage,Angry,7,,,,,,7,,,,0,7,0,0,7,0
2016-05-13 21:10:00,2016-05-13 21:15:00,2016-05-13,9:10 PM,9:15 PM,Sarah comes back,5th floor cage,Happy,8,,8,,,,,,,,8,0,8,8,0,0
